ts_code,trade_date,adj_factor,version,_ingested_at
000001.SZ,20251218,134.5794,1767706302,2026-01-06 21:31:42.217627
000002.SZ,20251218,181.704,1767706302,2026-01-06 21:31:42.217627
000004.SZ,20251218,4.064,1767706302,2026-01-06 21:31:42.217627
000006.SZ,20251218,39.74,1767706302,2026-01-06 21:31:42.217627
000007.SZ,20251218,8.284,1767706302,2026-01-06 21:31:42.217627
000008.SZ,20251218,22.408,1767706302,2026-01-06 21:31:42.217627
000009.SZ,20251218,9.0053,1767706302,2026-01-06 21:31:42.217627
000010.SZ,20251218,10.775,1767706302,2026-01-06 21:31:42.217627
000011.SZ,20251218,4.411,1767706302,2026-01-06 21:31:42.217627
000012.SZ,20251218,30.3449,1767706302,2026-01-06 21:31:42.217627
000014.SZ,20251218,6.776,1767706302,2026-01-06 21:31:42.217627
000016.SZ,20251218,22.375,1767706302,2026-01-06 21:31:42.217627
000017.SZ,20251218,2.683,1767706302,2026-01-06 21:31:42.217627
000019.SZ,20251218,4.8613,1767706302,2026-01-06 21:31:42.217627
000020.SZ,20251218,1.752,1767706302,2026-01-06 21:31:42.217627
000021.SZ,20251218,14.74,1767706302,2026-01-06 21:31:42.217627
000025.SZ,20251218,2.7682,1767706302,2026-01-06 21:31:42.217627
000026.SZ,20251218,8.9877,1767706302,2026-01-06 21:31:42.217627
000027.SZ,20251218,18.4563,1767706302,2026-01-06 21:31:42.217627
000028.SZ,20251218,5.6862,1767706302,2026-01-06 21:31:42.217627
000029.SZ,20251218,2.291,1767706302,2026-01-06 21:31:42.217627
000030.SZ,20251218,4.2329,1767706302,2026-01-06 21:31:42.217627
000031.SZ,20251218,14.651,1767706302,2026-01-06 21:31:42.217627
000032.SZ,20251218,4.2557,1767706302,2026-01-06 21:31:42.217627
000034.SZ,20251218,3.2375,1767706302,2026-01-06 21:31:42.217627
000035.SZ,20251218,4.7462,1767706302,2026-01-06 21:31:42.217627
000036.SZ,20251218,12.84,1767706302,2026-01-06 21:31:42.217627
000037.SZ,20251218,5.668,1767706302,2026-01-06 21:31:42.217627
000039.SZ,20251218,52.0044,1767706302,2026-01-06 21:31:42.217627
000042.SZ,20251218,13.498,1767706302,2026-01-06 21:31:42.217627
